Run  0 total,87.46
Run  0 time,0,30.01,-1,60.01,-1,-1
Run  0 count   1-0,0,-1,1739,-1,3481,5000
Run  0 delta_t 1-0,0,-0.00,424.03,-0.00,847.61,1180.76
Run  0 count   4-3,0,-1,1739,-1,3481,5000
Run  0 delta_t 4-3,0,-0.00,29585.22,-0.00,59156.62,86274.98
