Run  0 total,93.09,,,,
Run  0 time,0,30.01,60.01,90.01,-1
Run  0 count   1-0,0,1649,3283,4848,5000
Run  0 delta_t 1-0,0,401.90,806.71,1161.30,1193.53
Run  0 count   4-3,0,1649,3283,4848,5000
Run  0 delta_t 4-3,0,29610.80,59199.52,88842.20,91894.67
