Run  0 total,86.70,,,
Run  0 time,0,30.00,60.02,86.70
Run  0 count   1-0,0,1767,3526,5000
Run  0 delta_t 1-0,0,51.09,97.43,117.78
Run  0 count   4-3,0,1767,3526,5000
Run  0 delta_t 4-3,0,29947.76,59912.09,86578.88
