Run  0 total,875.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run  0 time,0,30.01,60.01,90.01,118.69,120.01,150.01,180.02,210.01,238.69,240.01,270.02,300.00,330.02,358.69,360.01,390.05,420.02,450.00,478.69,480.01,510.01,540.02,570.02,598.70,600.02,630.00,660.03,690.03,718.69,720.03,750.00,780.01,810.02,838.69,840.03,870.03,-1
Run  0 count   1-0,0,747,1669,2648,-1,3640,4609,5601,6608,-1,7683,8762,9808,10852,-1,11876,12857,13948,15061,-1,16163,17186,18217,19309,-1,20407,21588,22692,23727,-1,24729,25767,26779,27813,-1,28843,29828,30000
Run  0 delta_t 1-0,0,636.54,1416.40,2252.84,-0.00,3125.51,3897.37,4641.64,5468.79,-0.00,6386.41,7307.69,8148.70,9006.74,-0.00,9724.89,10591.09,11505.87,12530.41,-0.00,13531.01,14345.35,15174.41,15921.36,-0.00,16872.39,17865.39,18794.33,19694.26,-0.00,20624.04,21560.13,22459.12,23373.66,-0.00,24324.16,25229.59,25378.71
Run  0 count   4-3,0,747,1669,2648,-1,3640,4609,5601,6608,-1,7683,8762,9808,10852,-1,11876,12857,13948,15061,-1,16163,17186,18217,19309,-1,20407,21588,22692,23727,-1,24729,25767,26779,27813,-1,28843,29828,30000
Run  0 delta_t 4-3,0,29371.99,58589.81,87758.17,-0.00,116877.01,146104.98,175368.90,204538.90,-0.00,233614.05,262706.05,291842.13,321004.77,-0.00,350274.54,379448.52,408495.75,437455.60,-0.00,466464.97,495647.48,524826.44,554079.50,-0.00,583122.50,612113.62,641208.02,670314.60,-0.00,699383.41,728416.01,757524.89,786616.45,-0.00,815670.74,844765.85,849956.56
