Run  0 total,95.18,,,,
Run  0 time,0,30.01,60.01,90.01,-1
Run  0 count   1-0,0,1615,3210,4748,5000
Run  0 delta_t 1-0,0,392.39,787.68,1134.89,1189.45
Run  0 count   4-3,0,1615,3210,4748,5000
Run  0 delta_t 4-3,0,29618.44,59214.17,88868.04,93989.99
