Run  0 total,88.93,,,
Run  0 time,0,30.01,60.00,-1
Run  0 count   1-0,0,1710,3423,5000
Run  0 delta_t 1-0,0,405.97,816.27,1155.80
Run  0 count   4-3,0,1710,3423,5000
Run  0 delta_t 4-3,0,29604.05,59182.50,87765.65
