At (s)	Wall clock time (ms)			CPU time (ms)					MB			
	STW sweep	Concurrent	STW mark	STW seep	Assist	BG	Idle	STW mark	At start	At end	Live heap	Goal heap
38.195	0.036	42	0.066	0.21	0.28	60	130	0.39	292	297	150	300
39.039	0.031	61	0.002	0.19	0.34	71	107	0.017	293	301	155	301
39.923	0.032	42	0.17	0.19	0.37	51	149	1	302	308	154	310
40.778	0.031	40	0.03	0.18	0.28	54	148	0.18	301	306	155	309
41.651	0.032	41	0.015	0.19	0.26	53	152	0.091	302	306	156	310
42.515	0.032	45	0.019	0.19	0.34	56	146	0.11	304	309	158	312
43.412	0.034	43	0.016	0.2	0.47	61	153	0.099	309	314	159	317
44.285	0.036	70	0.014	0.21	0.31	82	114	0.089	311	320	164	319
45.205	0.032	45	0.014	0.19	0.36	63	158	0.084	321	326	162	329
46.11	0.031	47	0.16	0.18	0.35	70	144	1	317	323	165	325
47.047	0.033	66	0.011	0.19	0.35	92	115	0.068	321	330	168	330
47.998	0.031	45	0.016	0.19	0.47	67	161	0.096	328	333	167	337
48.971	0.031	46	0.17	0.18	0.34	65	167	1	326	330	169	334
49.923	0.034	48	0.016	0.2	0.34	70	164	0.1	329	335	171	338
50.878	0.03	48	0.17	0.18	0.26	69	172	1	333	338	172	342
51.867	0.031	65	0.02	0.19	0.27	97	133	0.12	336	345	177	345
52.872	0.032	49	0.01	0.19	0.36	72	175	0.065	345	350	176	354
53.9	0.032	49	0.009	0.19	0.28	70	178	0.055	343	348	177	352
54.89	0.032	51	0.016	0.19	0.25	74	175	0.096	346	352	179	355
55.92	0.033	51	0.013	0.19	0.3	71	187	0.08	350	355	181	359
56.924	0.036	51	0.17	0.21	0.34	72	188	1	353	358	182	362
58.004	0.032	51	0.015	0.19	0.38	69	191	0.093	356	360	183	365
59.107	0.032	53	0.17	0.19	0.35	75	194	1	358	364	185	367
60.168	0.033	55	0.16	0.19	0.26	83	196	1	362	367	187	371
61.255	0.032	56	0.012	0.19	0.27	78	202	0.073	365	371	190	374
62.404	0.031	56	0.17	0.18	0.2	78	201	1	370	376	192	380
63.478	0.034	77	0.17	0.2	0.34	103	164	1	374	383	195	384
64.696	0.035	57	0.016	0.21	0.38	79	210	0.099	382	388	195	391
65.873	0.036	57	0.081	0.21	0.36	80	208	0.49	381	388	196	391
67.02	0.032	59	0.14	0.19	0.26	82	219	0.89	383	390	198	393
68.197	0.032	67	0.014	0.19	0.4	91	204	0.088	387	394	200	397
69.382	0.037	59	0.015	0.22	0.36	89	213	0.09	391	398	202	401
70.572	0.037	59	0.018	0.22	0.33	89	213	0.1	394	400	203	404
71.785	0.035	61	0.032	0.21	0.37	84	222	0.19	396	403	205	407
73.007	0.032	61	0.016	0.19	0.28	90	219	0.098	401	405	206	411
74.226	0.034	66	0.013	0.2	0.26	96	222	0.083	402	409	209	412
75.5	0.032	64	0.015	0.19	0.56	90	237	0.093	409	416	212	419
76.756	0.031	66	0.002	0.19	0.35	92	234	0.015	413	421	214	424
78.053	0.035	69	0.17	0.21	0.36	99	229	1	417	424	215	428
79.393	0.034	67	0.017	0.2	0.34	102	236	0.1	420	427	218	431
80.771	0.035	74	0.014	0.21	0.27	109	229	0.084	425	433	219	436
82.131	0.036	68	0.011	0.21	0.26	96	248	0.068	428	433	219	439
83.464	0.032	68	0.009	0.19	0.38	105	241	0.057	427	434	222	438
84.828	0.037	73	0.16	0.22	0.22	103	264	1	433	440	225	444
86.213	0.031	71	0.017	0.18	0.38	107	254	0.1	438	447	228	450
87.597	0.032	71	0.14	0.19	0.55	103	259	0.86	446	453	229	457
89.023	0.038	73	0.17	0.23	0.37	106	268	1	447	454	232	459
90.458	0.037	75	0.015	0.22	0.27	106	272	0.095	453	461	234	465
91.916	0.037	79	0.001	0.22	0.39	111	267	0.011	457	465	237	469
93.344	0.037	76	0.17	0.22	0.39	114	273	1	463	470	238	475
94.84	0.036	89	0.016	0.21	0.27	111	268	0.1	464	474	243	476
96.422	0.034	73	0.17	0.2	0.27	107	289	1	475	479	241	487
97.956	0.033	82	0.17	0.19	0.38	114	291	1	471	478	246	483
99.503	0.032	98	0.011	0.19	0.19	139	254	0.07	480	491	251	492
101.083	0.038	84	0.014	0.22	0.33	119	302	0.087	490	499	251	503
