Run  0 total,85.58,,,
Run  0 time,0,30.01,60.01,85.58
Run  0 count   1-0,0,1790,3569,5000
Run  0 delta_t 1-0,0,44.17,84.85,101.77
Run  0 count   4-3,0,1790,3569,5000
Run  0 delta_t 4-3,0,29957.57,59922.76,85472.79
