Run  0 total,91.24,,,,
Run  0 time,0,30.01,60.01,90.01,-1
Run  0 count   1-0,0,1679,3344,4938,5000
Run  0 delta_t 1-0,0,411.67,827.47,1185.33,1197.73
Run  0 count   4-3,0,1679,3344,4938,5000
Run  0 delta_t 4-3,0,29601.24,59178.60,88816.55,90034.69
