Run  0 total,92.58
Run  0 time,0,30.01,-1,60.00,-1,90.00,-1,-1
Run  0 count   1-0,0,-1,1655,-1,3296,-1,4870,5000
Run  0 delta_t 1-0,0,-0.00,401.48,-0.00,806.81,-0.00,1158.23,1185.26
Run  0 count   4-3,0,-1,1655,-1,3296,-1,4870,5000
Run  0 delta_t 4-3,0,-0.00,29609.57,-0.00,59191.39,-0.00,88840.64,91394.09
