Run  0 total,86.98
Run  0 time,0,30.01,-1,60.01,-1,86.98
Run  0 count   1-0,0,-1,1760,-1,3511,5000
Run  0 delta_t 1-0,0,-0.00,23.69,-0.00,29.73,34.77
Run  0 count   4-3,0,-1,1760,-1,3511,5000
Run  0 delta_t 4-3,0,-0.00,29983.72,-0.00,59971.93,86941.48
