Run  0 total,88.27,,,
Run  0 time,0,30.00,60.01,-1
Run  0 count   1-0,0,1722,3449,5000
Run  0 delta_t 1-0,0,417.71,836.59,1174.60
Run  0 count   4-3,0,1722,3449,5000
Run  0 delta_t 4-3,0,29582.47,59168.48,87093.40
