Run  0 total,86.02,,,
Run  0 time,0,30.01,60.00,86.02
Run  0 count   1-0,0,1768,3545,5000
Run  0 delta_t 1-0,0,7.16,14.09,19.62
Run  0 count   4-3,0,1768,3545,5000
Run  0 delta_t 4-3,0,30002.27,59985.53,85998.80
