Run  0 total,96.72,,,,
Run  0 time,0,30.01,60.01,90.02,-1
Run  0 count   1-0,0,1588,3161,4674,5000
Run  0 delta_t 1-0,0,386.98,777.19,1122.41,1193.19
Run  0 count   4-3,0,1588,3161,4674,5000
Run  0 delta_t 4-3,0,29618.24,59226.40,88893.31,95517.76
