Run  0 total,108.08,,,,
Run  0 time,0,30.01,60.03,90.00,-1
Run  0 count   1-0,0,1419,2843,4203,5000
Run  0 delta_t 1-0,0,341.83,692.67,1005.32,1175.12
Run  0 count   4-3,0,1419,2843,4203,5000
Run  0 delta_t 4-3,0,29663.64,59334.24,88995.22,106896.90
