Run  0 total,95.14,,,,
Run  0 time,0,30.01,60.01,90.01,-1
Run  0 count   1-0,0,1615,3212,4752,5000
Run  0 delta_t 1-0,0,393.70,788.61,1134.69,1188.72
Run  0 count   4-3,0,1615,3212,4752,5000
Run  0 delta_t 4-3,0,29611.37,59222.14,88871.78,93949.02
